miner_uid,asset,prompt_score,scored_time,crps
119,ETH,0.0,2025-11-20 00:55:00+00:00,7369.395676336496
167,ETH,155.99428940480084,2025-11-20 00:55:00+00:00,7525.389965741297
11,ETH,157.5572909239363,2025-11-20 00:55:00+00:00,7526.952967260432
179,ETH,158.97872116454346,2025-11-20 00:55:00+00:00,7528.374397501039
24,ETH,159.06837323453692,2025-11-20 00:55:00+00:00,7528.464049571033
28,ETH,161.3938899964478,2025-11-20 00:55:00+00:00,7530.789566332944
209,ETH,164.21915252065355,2025-11-20 00:55:00+00:00,7533.614828857149
216,ETH,170.1640158449327,2025-11-20 00:55:00+00:00,7539.5596921814285
7,ETH,174.6889740484412,2025-11-20 00:55:00+00:00,7544.084650384937
30,ETH,174.86430242013375,2025-11-20 00:55:00+00:00,7544.25997875663
233,ETH,177.18820519913697,2025-11-20 00:55:00+00:00,7546.583881535633
206,ETH,179.31319087469365,2025-11-20 00:55:00+00:00,7548.7088672111895
207,ETH,182.37869714240423,2025-11-20 00:55:00+00:00,7551.7743734789
149,ETH,187.56714539564655,2025-11-20 00:55:00+00:00,7556.962821732142
115,ETH,153.91408497770408,2025-11-20 00:55:00+00:00,7523.3097613142
241,ETH,187.7202440218798,2025-11-20 00:55:00+00:00,7557.115920358376
29,ETH,197.53315588333044,2025-11-20 00:55:00+00:00,7566.928832219826
35,ETH,201.45161949616067,2025-11-20 00:55:00+00:00,7570.8472958326565
9,ETH,206.84830457784847,2025-11-20 00:55:00+00:00,7576.243980914344
89,ETH,221.69197795319178,2025-11-20 00:55:00+00:00,7591.087654289688
15,ETH,222.64617848542548,2025-11-20 00:55:00+00:00,7592.041854821921
230,ETH,223.25600018751175,2025-11-20 00:55:00+00:00,7592.651676524008
44,ETH,225.25076737663312,2025-11-20 00:55:00+00:00,7594.646443713129
134,ETH,238.1813979030967,2025-11-20 00:55:00+00:00,7607.577074239593
83,ETH,243.95405587865935,2025-11-20 00:55:00+00:00,7613.349732215155
40,ETH,248.91343356297693,2025-11-20 00:55:00+00:00,7618.309109899473
62,ETH,250.95077298317938,2025-11-20 00:55:00+00:00,7620.346449319675
69,ETH,251.2314732923196,2025-11-20 00:55:00+00:00,7620.6271496288155
67,ETH,252.41478858576102,2025-11-20 00:55:00+00:00,7621.810464922257
88,ETH,191.3051432573011,2025-11-20 00:55:00+00:00,7560.700819593797
116,ETH,253.51659126624872,2025-11-20 00:55:00+00:00,7622.912267602745
36,ETH,152.7728575572628,2025-11-20 00:55:00+00:00,7522.168533893759
103,ETH,148.7808527463967,2025-11-20 00:55:00+00:00,7518.176529082893
251,ETH,118.4392204281985,2025-11-20 00:55:00+00:00,7487.834896764694
