miner_uid,asset,prompt_score,scored_time,crps
194,SOL,0.0,2025-11-20 00:08:00+00:00,7188.63102945481
44,SOL,109.58098549961323,2025-11-20 00:08:00+00:00,7298.2120149544235
97,SOL,109.60424196026179,2025-11-20 00:08:00+00:00,7298.235271415072
61,SOL,109.95417689899114,2025-11-20 00:08:00+00:00,7298.585206353801
144,SOL,110.34371862605349,2025-11-20 00:08:00+00:00,7298.974748080864
167,SOL,110.6760780456516,2025-11-20 00:08:00+00:00,7299.307107500462
70,SOL,112.56226316714401,2025-11-20 00:08:00+00:00,7301.193292621954
216,SOL,113.70024371019917,2025-11-20 00:08:00+00:00,7302.331273165009
47,SOL,114.28831498958334,2025-11-20 00:08:00+00:00,7302.919344444394
116,SOL,114.54332837279253,2025-11-20 00:08:00+00:00,7303.174357827603
106,SOL,116.77261693906439,2025-11-20 00:08:00+00:00,7305.403646393875
163,SOL,117.64827086351943,2025-11-20 00:08:00+00:00,7306.27930031833
52,SOL,118.33282806853094,2025-11-20 00:08:00+00:00,7306.963857523341
214,SOL,118.56060658324532,2025-11-20 00:08:00+00:00,7307.191636038056
234,SOL,109.10776000896203,2025-11-20 00:08:00+00:00,7297.738789463772
255,SOL,118.90445941333837,2025-11-20 00:08:00+00:00,7307.535488868149
251,SOL,123.19007697652432,2025-11-20 00:08:00+00:00,7311.821106431335
131,SOL,123.74569641627932,2025-11-20 00:08:00+00:00,7312.37672587109
67,SOL,125.02912679145084,2025-11-20 00:08:00+00:00,7313.660156246261
154,SOL,125.07331478074502,2025-11-20 00:08:00+00:00,7313.704344235555
159,SOL,126.01735740854019,2025-11-20 00:08:00+00:00,7314.64838686335
73,SOL,127.88995275977959,2025-11-20 00:08:00+00:00,7316.52098221459
133,SOL,128.50488835511624,2025-11-20 00:08:00+00:00,7317.1359178099265
132,SOL,130.00704676808436,2025-11-20 00:08:00+00:00,7318.638076222895
206,SOL,130.4931493559643,2025-11-20 00:08:00+00:00,7319.1241788107745
29,SOL,133.41997771373917,2025-11-20 00:08:00+00:00,7322.051007168549
230,SOL,135.24018111148234,2025-11-20 00:08:00+00:00,7323.871210566293
66,SOL,136.43797279086903,2025-11-20 00:08:00+00:00,7325.069002245679
43,SOL,136.77676487624103,2025-11-20 00:08:00+00:00,7325.407794331051
205,SOL,119.74297643785485,2025-11-20 00:08:00+00:00,7308.374005892665
203,SOL,138.42267712536614,2025-11-20 00:08:00+00:00,7327.053706580176
218,SOL,108.48607929002355,2025-11-20 00:08:00+00:00,7297.117108744834
208,SOL,107.40410674579834,2025-11-20 00:08:00+00:00,7296.035136200609
142,SOL,84.55122286389906,2025-11-20 00:08:00+00:00,7273.182252318709
146,SOL,84.86193660835033,2025-11-20 00:08:00+00:00,7273.492966063161
94,SOL,85.2965312832248,2025-11-20 00:08:00+00:00,7273.927560738035
75,SOL,85.49157513314731,2025-11-20 00:08:00+00:00,7274.1226045879575
5,SOL,85.74525153669947,2025-11-20 00:08:00+00:00,7274.37628099151
188,SOL,89.82075983830146,2025-11-20 00:08:00+00:00,7278.451789293112
192,SOL,90.20641250116023,2025-11-20 00:08:00+00:00,7278.8374419559705
182,SOL,90.90222441055357,2025-11-20 00:08:00+00:00,7279.533253865364
81,SOL,91.09268695544688,2025-11-20 00:08:00+00:00,7279.723716410257
209,SOL,91.16438483611637,2025-11-20 00:08:00+00:00,7279.795414290927
79,SOL,91.72560303508362,2025-11-20 00:08:00+00:00,7280.356632489894
185,SOL,91.99229137895509,2025-11-20 00:08:00+00:00,7280.623320833765
134,SOL,92.48810719802623,2025-11-20 00:08:00+00:00,7281.1191366528365
15,SOL,108.35895672187235,2025-11-20 00:08:00+00:00,7296.989986176683
241,SOL,94.10976351992667,2025-11-20 00:08:00+00:00,7282.740792974737
108,SOL,97.93565008471614,2025-11-20 00:08:00+00:00,7286.566679539526
148,SOL,98.95570859652344,2025-11-20 00:08:00+00:00,7287.586738051334
195,SOL,99.26031482670987,2025-11-20 00:08:00+00:00,7287.89134428152
7,SOL,101.98869424442091,2025-11-20 00:08:00+00:00,7290.619723699231
107,SOL,102.01364341936005,2025-11-20 00:08:00+00:00,7290.64467287417
157,SOL,102.4562361868866,2025-11-20 00:08:00+00:00,7291.087265641697
